SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
IGARASHI, EQ, 01-Oct-2018, 679.30, 660.00, 677.55, 645.00, 652.50, 651.65, 656.93, 3194, 20.98, 421, 1822, 57.04
IGL, EQ, 01-Oct-2018, 242.95, 245.50, 250.00, 240.90, 247.95, 247.60, 245.93, 2157358, 5305.52, 34529, 691089, 32.03
IGPL, EQ, 01-Oct-2018, 399.60, 402.00, 402.00, 338.00, 389.00, 382.55, 361.30, 107734, 389.24, 4726, 49762, 46.19
IIFCL, N4, 01-Oct-2018, 1260.00, 1259.99, 1260.00, 1255.06, 1260.00, 1260.00, 1259.81, 271, 3.41, 7, 261, 96.31
IIFL, EQ, 01-Oct-2018, 509.55, 501.20, 530.00, 461.00, 525.05, 513.30, 488.95, 496689, 2428.54, 22870, 241374, 48.60
IIHFL, N1, 01-Oct-2018, 998.97, 990.80, 1005.00, 961.60, 1002.30, 1002.30, 1000.40, 3684, 36.85, 51, 3290, 89.31
IIHFL, N2, 01-Oct-2018, 1050.00, 1046.20, 1058.99, 1001.60, 1022.17, 1022.11, 1014.75, 2634, 26.73, 82, 2065, 78.40
IL&FSENGG, EQ, 01-Oct-2018, 13.30, 15.00, 15.95, 13.85, 15.95, 15.95, 15.39, 1083639, 166.79, 3433, 597674, 55.15
IL&FSTRANS, EQ, 01-Oct-2018, 22.55, 23.10, 27.05, 22.80, 27.00, 26.80, 25.85, 5026941, 1299.23, 17143, 1595676, 31.74
IMFA, EQ, 01-Oct-2018, 267.35, 263.95, 267.05, 255.10, 266.00, 263.70, 261.59, 54466, 142.48, 1835, 28431, 52.20
IMPAL, EQ, 01-Oct-2018, 907.00, 891.00, 932.00, 870.40, 906.00, 915.15, 903.52, 1030, 9.31, 120, 714, 69.32
IMPEXFERRO, BE, 01-Oct-2018, 0.40, 0.40, 0.40, 0.40, 0.40, 0.40, 0.40, 5000, 0.02, 18, -, -
INDBANK, EQ, 01-Oct-2018, 8.90, 8.50, 8.85, 8.50, 8.50, 8.50, 8.51, 52193, 4.44, 144, 43242, 82.85
INDHOTEL, EQ, 01-Oct-2018, 136.90, 139.70, 139.80, 127.60, 127.85, 128.60, 133.05, 2707987, 3602.93, 32981, 1736594, 64.13
INDIACEM, EQ, 01-Oct-2018, 101.20, 101.45, 102.35, 95.35, 100.40, 100.35, 98.69, 7797026, 7694.94, 31171, 1532989, 19.66
INDIAGLYCO, EQ, 01-Oct-2018, 392.35, 383.20, 387.95, 372.75, 382.20, 380.60, 374.66, 71565, 268.13, 1336, 42653, 59.60
INDIANB, EQ, 01-Oct-2018, 227.40, 225.05, 247.50, 219.55, 246.00, 246.25, 234.97, 2658184, 6245.96, 25576, 212614, 8.00
INDIANCARD, EQ, 01-Oct-2018, 128.00, 129.00, 131.95, 124.00, 130.00, 129.45, 128.31, 299, 0.38, 15, 158, 52.84
INDIANHUME, EQ, 01-Oct-2018, 238.10, 239.35, 247.20, 225.85, 247.20, 242.35, 231.55, 43542, 100.82, 775, 39682, 91.13
INDIGO, EQ, 01-Oct-2018, 826.10, 812.00, 815.95, 769.05, 801.15, 806.65, 804.50, 1143537, 9199.74, 55691, 328253, 28.71
INDIGRID, IV, 01-Oct-2018, 90.00, 89.76, 89.76, 88.60, 88.99, 88.99, 89.16, 102060, 90.99, 20, 96957, 95.00
INDLMETER, EQ, 01-Oct-2018, 59.70, 56.00, 60.45, 55.20, 58.40, 58.55, 57.20, 8792, 5.03, 86, 5182, 58.94
INDNIPPON, EQ, 01-Oct-2018, 440.20, 441.05, 445.05, 426.05, 439.00, 437.35, 435.32, 14902, 64.87, 555, 9750, 65.43
INDOCO, EQ, 01-Oct-2018, 193.35, 193.30, 208.00, 182.55, 208.00, 197.90, 190.81, 157014, 299.59, 2201, 95072, 60.55
INDORAMA, EQ, 01-Oct-2018, 20.80, 20.55, 21.45, 18.55, 21.10, 20.70, 19.76, 36187, 7.15, 207, 24393, 67.41
INDOSOLAR, BE, 01-Oct-2018, 3.65, 3.50, 3.70, 3.50, 3.60, 3.50, 3.51, 409289, 14.38, 318, -, -
INDOSTAR, EQ, 01-Oct-2018, 319.05, 315.35, 317.45, 290.10, 311.00, 300.55, 299.68, 232978, 698.19, 7782, 160811, 69.02
INDOTECH, EQ, 01-Oct-2018, 94.70, 90.45, 96.50, 90.45, 95.00, 94.10, 93.89, 3314, 3.11, 109, 2701, 81.50
INDOTHAI, EQ, 01-Oct-2018, 43.85, 43.50, 43.50, 38.70, 42.80, 41.95, 41.11, 20240, 8.32, 164, 13427, 66.34
INDOWIND, EQ, 01-Oct-2018, 4.25, 4.10, 4.40, 4.05, 4.05, 4.05, 4.10, 34902, 1.43, 87, 28313, 81.12
INDRAMEDCO, EQ, 01-Oct-2018, 39.85, 40.15, 40.35, 38.85, 39.90, 39.65, 39.43, 65067, 25.66, 335, 50828, 78.12
INDSWFTLAB, EQ, 01-Oct-2018, 57.15, 55.50, 57.90, 54.30, 55.75, 55.15, 54.71, 37212, 20.36, 231, 25735, 69.16
INDSWFTLTD, BE, 01-Oct-2018, 6.95, 6.65, 6.70, 6.65, 6.65, 6.65, 6.65, 17317, 1.15, 28, -, -
INDTERRAIN, EQ, 01-Oct-2018, 133.35, 134.05, 138.05, 126.00, 135.05, 134.15, 129.97, 24223, 31.48, 863, 20796, 85.85
INDUSINDBK, EQ, 01-Oct-2018, 1690.05, 1660.00, 1669.90, 1615.65, 1649.00, 1642.65, 1636.94, 5213931, 85348.89, 196790, 3672461, 70.44
INEOSSTYRO, EQ, 01-Oct-2018, 668.70, 699.00, 699.00, 652.00, 670.00, 681.30, 673.81, 4928, 33.21, 339, 4005, 81.27
INFIBEAM, EQ, 01-Oct-2018, 58.45, 64.25, 72.40, 39.10, 65.85, 66.90, 62.66, 111604330, 69932.26, 488701, 17576393, 15.75
INFINITE, EQ, 01-Oct-2018, 469.80, 469.65, 472.00, 465.10, 468.00, 470.80, 470.00, 46468, 218.40, 3670, 43155, 92.87
INFOBEAN, SM, 01-Oct-2018, 57.50, 58.00, 58.00, 55.05, 55.15, 55.15, 56.44, 10000, 5.64, 5, 8000, 80.00
INFRABEES, EQ, 01-Oct-2018, 302.66, 303.00, 303.00, 285.00, 286.00, 301.45, 294.90, 985, 2.90, 74, 602, 61.12
INFRATEL, EQ, 01-Oct-2018, 262.95, 262.90, 272.30, 262.00, 265.15, 267.60, 267.78, 2928255, 7841.33, 48477, 1247762, 42.61
INFY, EQ, 01-Oct-2018, 730.05, 737.50, 754.90, 733.00, 742.95, 746.65, 745.05, 8252398, 61484.84, 160489, 4483016, 54.32
INGERRAND, EQ, 01-Oct-2018, 549.20, 551.60, 551.60, 521.25, 542.00, 539.90, 536.06, 12007, 64.37, 1164, 6068, 50.54
INNOVANA, SM, 01-Oct-2018, 362.00, 343.90, 343.90, 343.90, 343.90, 343.90, 343.90, 1200, 4.13, 2, 1200, 100.00
